task_name,zs_passed,zs_rank,fb_passed,fb_rank,fb_iterations,improved
Prob001_zero,True,1.0,True,1.0,1,False
Prob007_wire,True,1.0,True,1.0,1,False
Prob014_andgate,True,1.0,True,1.0,1,False
Prob024_hadd,True,1.0,False,-2.0,0,False
Prob027_fadd,False,-2.0,False,-2.0,0,False
Prob031_dff,False,-2.0,False,-2.0,0,False
Prob035_count1to10,False,-2.0,False,-2.0,0,False
Prob041_dff8r,False,-2.0,False,-2.0,0,False
Prob025_reduction,False,-2.0,True,1.0,1,True
Prob022_mux2to1,True,1.0,True,1.0,1,False
Prob050_kmap1,True,1.0,True,1.0,1,False
Prob054_edgedetect,True,1.0,True,1.0,1,False
Prob068_countbcd,True,1.0,True,1.0,1,False
Prob082_lfsr32,False,0.000235,False,0.000235,5,False
Prob085_shift4,True,1.0,True,1.0,1,False
Prob030_popcount255,True,1.0,True,1.0,1,False
Prob109_fsm1,False,0.0,True,1.0,2,True
Prob127_lemmings1,False,0.6375545851528385,True,1.0,2,True
Prob140_fsm_hdlc,False,0.9250936329588015,False,0.9637952559300874,5,False
Prob144_conwaylife,True,1.0,True,1.0,1,False
