task_name,zs_passed,zs_rank,zs_api_error,zs_api_error_type,fb_passed,fb_rank,fb_iterations,fb_api_error,fb_api_error_type,improved
Prob001_zero,True,1.0,False,,True,1.0,1,False,,False
Prob007_wire,True,1.0,False,,True,1.0,1,False,,False
Prob014_andgate,True,1.0,False,,True,1.0,1,False,,False
Prob024_hadd,True,1.0,False,,True,1.0,1,False,,False
Prob027_fadd,True,1.0,False,,True,1.0,1,False,,False
Prob031_dff,True,1.0,False,,True,1.0,1,False,,False
Prob035_count1to10,True,1.0,False,,True,1.0,1,False,,False
Prob041_dff8r,True,1.0,False,,True,1.0,1,False,,False
Prob025_reduction,True,1.0,False,,True,1.0,1,False,,False
Prob022_mux2to1,True,1.0,False,,True,1.0,1,False,,False
Prob050_kmap1,True,1.0,False,,True,1.0,1,False,,False
Prob054_edgedetect,True,1.0,False,,True,1.0,1,False,,False
Prob068_countbcd,True,1.0,False,,True,1.0,1,False,,False
Prob082_lfsr32,False,0.000235,False,,False,0.000235,5,False,,False
Prob085_shift4,True,1.0,False,,True,1.0,1,False,,False
Prob030_popcount255,True,1.0,False,,True,1.0,1,False,,False
Prob109_fsm1,False,0.0,False,,True,1.0,2,False,,True
Prob127_lemmings1,False,0.6375545851528385,False,,True,1.0,2,False,,True
Prob140_fsm_hdlc,False,0.9250936329588015,False,,False,0.9712858926342073,5,False,,False
Prob144_conwaylife,True,1.0,False,,True,1.0,1,False,,False
